Combo Conversion Expanded — visitors = EnrichedRaw; purchasers = OrdersEnrichedMatched,Min Visitors,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Combo Size,Visitors,Purchasers,Conversion %,GENDER,AGE_RANGE,INCOME_RANGE,NET_WORTH,HOMEOWNER,MARRIED,CHILDREN,SKIPTRACE_CREDIT_RATING,SKIPTRACE_ETHNIC_CODE,DEPARTMENT,SENIORITY_LEVEL,STATE,ECO,FIR1,FIR2,OUT2,RL1500MAX-W,RL2,RL500MID-W,COM2,RL900PRO-B   ,RL900PRO-W,TRA2
65,3,147,9,6.1%,M,,,,,,Y,,,,,MO,1,3,0,0,0,1,0,4,0,0,0
66,3,147,9,6.1%,,55-64,,,Y,,,,,,,GA,2,4,1,0,0,2,0,0,0,0,0
67,5,115,7,6.1%,,,"$100,000 to $149,999",,Y,Y,Y,U,,,,,2,0,4,0,0,1,0,0,0,0,0
68,4,132,8,6.1%,M,,"$100,000 to $149,999",,Y,,,,,Operations,,,1,1,3,0,0,0,0,2,0,1,0
69,4,116,7,6.0%,,35-44,"$100,000 to $149,999",,,,Y,C,,,,,2,0,2,1,0,1,0,0,0,1,0
70,4,200,12,6.0%,,,,,Y,Y,,U,T3,,,,1,2,4,1,0,3,0,0,0,0,1
71,5,117,7,6.0%,M,,,"$500,000 to $749,999",Y,Y,,,,,Staff,,0,2,4,0,0,1,0,0,0,0,0
72,3,184,11,6.0%,M,,,,Y,,,,,,,WI,2,1,5,0,0,2,0,1,0,0,0
73,4,134,8,6.0%,M,,,,Y,,Y,,,,,TN,2,3,1,0,0,2,0,0,0,0,0
74,5,168,10,6.0%,M,,,"$500,000 to $749,999",Y,,Y,,,,Staff,,0,3,5,0,0,1,0,1,0,0,0
75,4,168,10,6.0%,M,35-44,,,,,Y,,,Operations,,,1,1,3,2,0,1,0,1,0,1,0
76,4,101,6,5.9%,,55-64,"$100,000 to $149,999",,Y,,,,T3,,,,1,0,2,0,0,3,0,0,0,0,0
77,4,101,6,5.9%,M,,,,Y,N,,,,,,CO,2,0,2,0,0,2,0,0,0,0,0
78,4,118,7,5.9%,M,,,"$500,000 to $749,999",,Y,,,,,Staff,,0,2,4,0,0,1,0,0,0,0,0
79,5,135,8,5.9%,M,,,,Y,N,Y,,,,Vp,,1,0,2,1,0,3,0,1,0,0,0
80,5,238,14,5.9%,M,35-44,,,Y,,Y,,,,,CA,3,2,3,3,0,2,0,0,0,1,0
81,3,170,10,5.9%,M,,,,Y,,,,,,,MO,1,3,1,0,0,1,0,4,0,0,0
82,5,153,9,5.9%,M,35-44,,,,N,Y,C,,,,,2,0,2,1,0,3,0,0,0,1,0
83,3,136,8,5.9%,,35-44,"$100,000 to $149,999",,,,,C,,,,,2,0,3,1,0,1,0,0,0,1,0
84,4,136,8,5.9%,M,,,,,N,,C,,,,CA,1,1,1,1,0,3,0,0,0,1,0
85,4,119,7,5.9%,M,35-44,,,,Y,,,,,,CA,2,2,2,1,0,0,0,0,0,0,0
86,4,102,6,5.9%,,,"$75,000 to $99,999",,Y,,Y,,,Finance,,,0,0,3,0,0,3,0,0,0,0,0
87,4,102,6,5.9%,,,,,Y,Y,,U,,,Cxo,,0,0,3,1,0,1,0,1,0,0,0
88,3,102,6,5.9%,,45-54,,,Y,,,,,,,WI,1,0,1,0,0,1,1,1,0,0,1
89,3,256,15,5.9%,,35-44,,,Y,,,,,Sales,,,2,1,2,1,0,5,0,4,0,0,0
90,4,222,13,5.9%,M,,"$150,000 to $199,999",,Y,N,,,,,,,2,1,1,0,0,6,0,3,0,0,0
91,2,291,17,5.8%,M,,,,,,,,,,,CO,3,1,6,2,0,2,0,2,0,0,1
92,5,103,6,5.8%,F,,,,Y,Y,,U,T3,,,,1,1,1,1,0,1,0,0,0,0,1
93,4,103,6,5.8%,,,,"$750,000 to $999,999",Y,,,,,,Manager,CA,2,1,0,2,0,1,0,0,0,0,0
94,3,103,6,5.8%,,,"$100,000 to $149,999",,,N,,,,,,TX,1,0,1,0,0,1,0,3,0,0,0
95,3,103,6,5.8%,,55-64,"$100,000 to $149,999",,,,,,T3,,,,1,0,2,0,0,3,0,0,0,0,0
96,4,172,10,5.8%,M,,,"$500,000 to $749,999",,,Y,,,,Staff,,0,3,5,0,0,1,0,1,0,0,0
97,5,155,9,5.8%,M,35-44,,,Y,,Y,,,Operations,,,1,1,2,2,0,1,0,1,0,1,0
98,5,138,8,5.8%,M,35-44,,"$750,000 to $999,999",,N,Y,,,,,,3,0,1,2,0,1,0,0,0,1,0
99,4,104,6,5.8%,,35-44,"$100,000 to $149,999",,,,Y,,,,,CA,4,0,0,1,0,0,0,0,0,1,0
100,3,104,6,5.8%,M,,"$100,000 to $149,999",,,,,,,Sales,,,1,1,0,1,0,1,0,2,0,0,0
101,2,104,6,5.8%,,,,,,,,,T3,,,TN,0,3,1,0,0,2,0,0,0,0,0
102,5,104,6,5.8%,F,35-44,"$60,000 to $74,999",,,,Y,,,,Staff,,1,0,3,0,0,2,0,0,0,0,0
103,5,139,8,5.8%,M,35-44,"$100,000 to $149,999",,Y,Y,,,,,,,1,2,3,0,0,0,0,2,0,0,0
104,4,139,8,5.8%,,,,,Y,N,,,,Sales,Manager,,1,1,0,1,0,3,0,2,0,0,0
105,4,209,12,5.7%,,35-44,,"$750,000 to $999,999",Y,,,,,,,CA,5,0,3,2,0,1,0,0,0,1,0
106,5,122,7,5.7%,M,35-44,"$100,000 to $149,999",,,Y,Y,,,,,,1,1,3,0,0,0,0,2,0,0,0
107,2,175,10,5.7%,,35-44,,,,,,,N6,,,,3,1,1,0,0,4,0,1,0,0,0
108,5,175,10,5.7%,M,,"$200,000 to $249,000",,Y,Y,Y,,,,,,1,2,4,0,0,2,0,1,0,0,0
109,4,105,6,5.7%,,35-44,"$20,000 to $44,999",,Y,,,C,,,,,0,2,2,0,0,2,0,0,0,0,0
110,5,105,6,5.7%,,,,"$150,000 to $249,999",Y,Y,Y,U,,,,,0,1,2,0,0,2,0,0,0,0,1
111,5,105,6,5.7%,M,45-54,,,,N,Y,B,,,,,0,0,4,0,0,0,0,2,0,0,0
112,3,105,6,5.7%,,,,,Y,,,U,,Sales,,,1,1,1,0,0,2,0,1,0,0,0
113,4,123,7,5.7%,M,35-44,"$100,000 to $149,999",,,,,,,,Staff,,2,2,2,0,0,0,0,1,0,0,0
114,4,123,7,5.7%,,55-64,,,Y,,Y,,,,,GA,2,2,1,0,0,2,0,0,0,0,0
115,3,123,7,5.7%,M,35-44,,,,,,,,Finance,,,1,1,2,0,0,3,0,0,0,0,0
